Month of Month of Booking Date,Park_Tourism_Region,Year of Month of Booking Date,Visitors,month_year
November,Gold Coast,2023,835,Nov-23
November,Fraser Coast,2023,22578,Nov-23
November,Darling Downs,2023,3329,Nov-23
November,Central Queensland,2023,4131,Nov-23
November,Bundaberg,2023,90,Nov-23
November,Brisbane,2023,4774,Nov-23
December,Whitsundays,2023,404,Dec-23
December,Tropical North Queensland,2023,3895,Dec-23
December,Townsville,2023,619,Dec-23
December,Sunshine Coast,2023,24510,Dec-23
December,Queensland Country,2023,89,Dec-23
December,Outback,2023,124,Dec-23
December,Mackay,2023,1211,Dec-23
December,"Launceston, Tamar and the North",2023,2510,Dec-23
December,Gold Coast,2023,661,Dec-23
December,Fraser Coast,2023,14552,Dec-23
December,Darling Downs,2023,3362,Dec-23
December,Central Queensland,2023,4387,Dec-23
December,Bundaberg,2023,114,Dec-23
December,Brisbane,2023,4480,Dec-23
January,Whitsundays,2024,275,Jan-24
January,Tropical North Queensland,2024,3980,Jan-24
January,Townsville,2024,420,Jan-24
January,Sunshine Coast,2024,24413,Jan-24
January,Queensland Country,2024,144,Jan-24
January,Outback,2024,93,Jan-24
January,Mackay,2024,722,Jan-24
January,"Launceston, Tamar and the North",2024,2599,Jan-24
January,Gold Coast,2024,888,Jan-24
January,Fraser Coast,2024,11901,Jan-24
January,Darling Downs,2024,3980,Jan-24
January,Central Queensland,2024,3860,Jan-24
January,Bundaberg,2024,166,Jan-24
January,Brisbane,2024,4442,Jan-24
February,Whitsundays,2024,169,Feb-24
February,Tropical North Queensland,2024,2790,Feb-24
February,Townsville,2024,517,Feb-24
February,Sunshine Coast,2024,22788,Feb-24
February,Queensland Country,2024,107,Feb-24
February,Outback,2024,106,Feb-24
February,Mackay,2024,702,Feb-24
February,"Launceston, Tamar and the North",2024,2201,Feb-24
February,Gold Coast,2024,929,Feb-24
February,Fraser Coast,2024,10475,Feb-24
February,Darling Downs,2024,2718,Feb-24
February,Central Queensland,2024,2895,Feb-24
February,Bundaberg,2024,74,Feb-24
February,Brisbane,2024,3241,Feb-24
March,Whitsundays,2024,212,Mar-24
March,Tropical North Queensland,2024,2110,Mar-24
March,Townsville,2024,666,Mar-24
March,Sunshine Coast,2024,13681,Mar-24
March,Queensland Country,2024,117,Mar-24
March,Outback,2024,239,Mar-24
March,Mackay,2024,1321,Mar-24
March,"Launceston, Tamar and the North",2024,2864,Mar-24
March,Gold Coast,2024,562,Mar-24
March,Fraser Coast,2024,7341,Mar-24
March,Darling Downs,2024,2495,Mar-24
March,Central Queensland,2024,2699,Mar-24
March,Bundaberg,2024,183,Mar-24
March,Brisbane,2024,3084,Mar-24
