suburbName actual,Cel Lga Name 1,Month of Adjusted Dt,Pct,Percent
Arana Hills,Gold Coast City,Jul-23,0.28392,28.39163125
Arana Hills,Gold Coast City,Jan-23,0.07764,7.763975155
Arana Hills,Gold Coast City,Feb-23,0.08205,8.205295848
Arana Hills,Gold Coast City,Apr-23,0.09006,9.00621118
Arana Hills,Gympie Regional,May-23,0.20499,20.49861496
Arana Hills,Gympie Regional,Mar-23,0.07479,7.479224377
Arana Hills,Gympie Regional,Jun-23,0.20776,20.77562327
Arana Hills,Gympie Regional,Jul-23,0.28255,28.25484765
Arana Hills,Gympie Regional,Jan-23,0.07202,7.202216066
Arana Hills,Gympie Regional,Feb-23,0.07479,7.479224377
Arana Hills,Gympie Regional,Apr-23,0.08310,8.310249307
Arana Hills,Ipswich City,May-23,0.20104,20.10379061
Arana Hills,Ipswich City,Mar-23,0.07942,7.942238267
Arana Hills,Ipswich City,Jun-23,0.22676,22.67599278
Arana Hills,Ipswich City,Jul-23,0.22924,22.92418773
Arana Hills,Ipswich City,Jan-23,0.08190,8.190433213
Arana Hills,Ipswich City,Feb-23,0.08010,8.009927798
Arana Hills,Ipswich City,Apr-23,0.10153,10.1534296
Arana Hills,Logan City,May-23,0.20487,20.48739496
Arana Hills,Logan City,Mar-23,0.08588,8.588235294
Arana Hills,Logan City,Jun-23,0.21008,21.00840336
Arana Hills,Logan City,Jul-23,0.23882,23.88235294
Arana Hills,Logan City,Jan-23,0.08471,8.470588235
Arana Hills,Logan City,Feb-23,0.07849,7.848739496
Arana Hills,Logan City,Apr-23,0.09714,9.714285714
Arana Hills,Mackay Regional,May-23,0.15927,15.92689295
Arana Hills,Mackay Regional,Mar-23,0.05483,5.483028721
Arana Hills,Mackay Regional,Jun-23,0.20627,20.62663185
Arana Hills,Mackay Regional,Jul-23,0.35770,35.77023499
Arana Hills,Mackay Regional,Jan-23,0.04700,4.699738903
Arana Hills,Mackay Regional,Feb-23,0.06266,6.266318538
Arana Hills,Mackay Regional,Apr-23,0.11227,11.22715405
Arana Hills,Noosa Shire,May-23,0.20713,20.71307301
Arana Hills,Noosa Shire,Mar-23,0.05942,5.942275042
Arana Hills,Noosa Shire,Jun-23,0.24109,24.10865874
Arana Hills,Noosa Shire,Jul-23,0.25127,25.12733447
Arana Hills,Noosa Shire,Jan-23,0.06961,6.960950764
Arana Hills,Noosa Shire,Feb-23,0.05942,5.942275042
Arana Hills,Noosa Shire,Apr-23,0.11205,11.20543294
Arana Hills,Redland City,May-23,0.21160,21.15997451
Arana Hills,Redland City,Mar-23,0.08254,8.253664755
Arana Hills,Redland City,Jun-23,0.23040,23.04015296
Arana Hills,Redland City,Jul-23,0.22020,22.02039516
Arana Hills,Redland City,Jan-23,0.07202,7.202039516
Arana Hills,Redland City,Feb-23,0.07521,7.52071383
Arana Hills,Redland City,Apr-23,0.10803,10.80305927
Arana Hills,Scenic Rim Regional,May-23,0.18272,18.27160494
Arana Hills,Scenic Rim Regional,Mar-23,0.09383,9.382716049
Arana Hills,Scenic Rim Regional,Jun-23,0.19506,19.50617284
Arana Hills,Scenic Rim Regional,Jul-23,0.27901,27.90123457
Arana Hills,Scenic Rim Regional,Jan-23,0.06420,6.419753086
Arana Hills,Scenic Rim Regional,Feb-23,0.08148,8.148148148
Arana Hills,Scenic Rim Regional,Apr-23,0.10370,10.37037037
Arana Hills,Sunshine Coast Regional,May-23,0.19846,19.84589754
Arana Hills,Sunshine Coast Regional,Mar-23,0.08101,8.100791337
Arana Hills,Sunshine Coast Regional,Jun-23,0.22032,22.03248646
Arana Hills,Sunshine Coast Regional,Jul-23,0.23324,23.32361516
Arana Hills,Sunshine Coast Regional,Jan-23,0.07788,7.788421491
Arana Hills,Sunshine Coast Regional,Feb-23,0.07455,7.455226989
Arana Hills,Sunshine Coast Regional,Apr-23,0.11454,11.45356102
Arana Hills,Toowoomba Regional,May-23,0.16197,16.19654231
Arana Hills,Toowoomba Regional,Mar-23,0.07825,7.825295723
Arana Hills,Toowoomba Regional,Jun-23,0.19381,19.38125569
Arana Hills,Toowoomba Regional,Jul-23,0.32302,32.30209281
Arana Hills,Toowoomba Regional,Jan-23,0.06824,6.824385805
Arana Hills,Toowoomba Regional,Feb-23,0.07916,7.916287534
Arana Hills,Toowoomba Regional,Apr-23,0.09554,9.554140127
Arana Hills,Townsville City,May-23,0.16921,16.92094314
Arana Hills,Townsville City,Mar-23,0.08599,8.599167822
Arana Hills,Townsville City,Jun-23,0.18585,18.5852982
Arana Hills,Townsville City,Jul-23,0.34258,34.25797504
Arana Hills,Townsville City,Jan-23,0.04993,4.993065187
Arana Hills,Townsville City,Feb-23,0.07906,7.905686546
Arana Hills,Townsville City,Apr-23,0.08738,8.737864078
Armstrong Creek,Brisbane City,May-23,0.20325,20.32548477
Armstrong Creek,Brisbane City,Mar-23,0.09401,9.400969529
Armstrong Creek,Brisbane City,Jun-23,0.21537,21.53739612
Armstrong Creek,Brisbane City,Jul-23,0.20083,20.08310249
Armstrong Creek,Brisbane City,Jan-23,0.10405,10.40512465
Armstrong Creek,Brisbane City,Feb-23,0.07583,7.583102493
Armstrong Creek,Brisbane City,Apr-23,0.10665,10.66481995
Armstrong Creek,Bundaberg Regional,May-23,0.14634,14.63414634
Armstrong Creek,Bundaberg Regional,Mar-23,0.04878,4.87804878
Armstrong Creek,Bundaberg Regional,Jun-23,0.17073,17.07317073
Armstrong Creek,Bundaberg Regional,Jul-23,0.36585,36.58536585
Armstrong Creek,Bundaberg Regional,Jan-23,0.07317,7.317073171
Armstrong Creek,Bundaberg Regional,Feb-23,0.12195,12.19512195
Armstrong Creek,Bundaberg Regional,Apr-23,0.07317,7.317073171
Armstrong Creek,Cairns Regional,May-23,0.14286,14.28571429
Armstrong Creek,Cairns Regional,Mar-23,0.09524,9.523809524
Armstrong Creek,Cairns Regional,Jun-23,0.21429,21.42857143
Armstrong Creek,Cairns Regional,Jul-23,0.42857,42.85714286
Armstrong Creek,Cairns Regional,Jan-23,0.02381,2.380952381
Armstrong Creek,Cairns Regional,Feb-23,0.04762,4.761904762
Armstrong Creek,Cairns Regional,Apr-23,0.04762,4.761904762
Armstrong Creek,Fraser Coast Regional,May-23,0.12676,12.67605634
Armstrong Creek,Fraser Coast Regional,Mar-23,0.11268,11.26760563
Armstrong Creek,Fraser Coast Regional,Jun-23,0.15493,15.49295775
Armstrong Creek,Fraser Coast Regional,Jul-23,0.23944,23.94366197
Armstrong Creek,Fraser Coast Regional,Jan-23,0.08451,8.450704225
Armstrong Creek,Fraser Coast Regional,Feb-23,0.15493,15.49295775
Armstrong Creek,Fraser Coast Regional,Apr-23,0.12676,12.67605634
Armstrong Creek,Gold Coast City,May-23,0.17391,17.39130435
Armstrong Creek,Gold Coast City,Mar-23,0.06805,6.805293006
Armstrong Creek,Gold Coast City,Jun-23,0.19660,19.65973535
Armstrong Creek,Gold Coast City,Jul-23,0.29112,29.11153119
Armstrong Creek,Gold Coast City,Jan-23,0.07372,7.372400756
Armstrong Creek,Gold Coast City,Feb-23,0.08885,8.884688091
Armstrong Creek,Gold Coast City,Apr-23,0.10775,10.77504726
Armstrong Creek,Gympie Regional,May-23,0.25926,25.92592593
Armstrong Creek,Gympie Regional,Mar-23,0.07407,7.407407407
Armstrong Creek,Gympie Regional,Jun-23,0.03704,3.703703704
Armstrong Creek,Gympie Regional,Jul-23,0.33333,33.33333333
Armstrong Creek,Gympie Regional,Jan-23,0.03704,3.703703704
Armstrong Creek,Gympie Regional,Feb-23,0.07407,7.407407407
Armstrong Creek,Gympie Regional,Apr-23,0.18519,18.51851852
Armstrong Creek,Ipswich City,May-23,0.20175,20.1754386
Armstrong Creek,Ipswich City,Mar-23,0.08333,8.333333333
Armstrong Creek,Ipswich City,Jun-23,0.20614,20.61403509
Armstrong Creek,Ipswich City,Jul-23,0.22149,22.14912281
Armstrong Creek,Ipswich City,Jan-23,0.09649,9.649122807
Armstrong Creek,Ipswich City,Feb-23,0.08772,8.771929825
Armstrong Creek,Ipswich City,Apr-23,0.10307,10.30701754
Armstrong Creek,Logan City,May-23,0.17087,17.08737864
Armstrong Creek,Logan City,Mar-23,0.09126,9.126213592
Armstrong Creek,Logan City,Jun-23,0.21748,21.74757282
Armstrong Creek,Logan City,Jul-23,0.28350,28.34951456
Armstrong Creek,Logan City,Jan-23,0.08155,8.155339806
Armstrong Creek,Logan City,Feb-23,0.06796,6.796116505
Armstrong Creek,Logan City,Apr-23,0.08738,8.737864078
Armstrong Creek,Mackay Regional,May-23,0.21429,21.42857143
Armstrong Creek,Mackay Regional,Mar-23,0.10714,10.71428571
Armstrong Creek,Mackay Regional,Jun-23,0.10714,10.71428571
Armstrong Creek,Mackay Regional,Jul-23,0.42857,42.85714286
Armstrong Creek,Mackay Regional,Jan-23,0.03571,3.571428571
Armstrong Creek,Mackay Regional,Feb-23,0.03571,3.571428571
Armstrong Creek,Mackay Regional,Apr-23,0.07143,7.142857143
Armstrong Creek,Noosa Shire,May-23,0.22059,22.05882353
Armstrong Creek,Noosa Shire,Mar-23,0.07353,7.352941176
Armstrong Creek,Noosa Shire,Jun-23,0.22059,22.05882353
Armstrong Creek,Noosa Shire,Jul-23,0.25000,25
Armstrong Creek,Noosa Shire,Jan-23,0.08824,8.823529412
Armstrong Creek,Noosa Shire,Feb-23,0.10294,10.29411765
Armstrong Creek,Noosa Shire,Apr-23,0.04412,4.411764706
Armstrong Creek,Redland City,May-23,0.18966,18.96551724
Armstrong Creek,Redland City,Mar-23,0.08966,8.965517241
Armstrong Creek,Redland City,Jun-23,0.19655,19.65517241
Armstrong Creek,Redland City,Jul-23,0.25517,25.51724138
Armstrong Creek,Redland City,Jan-23,0.10690,10.68965517
Armstrong Creek,Redland City,Feb-23,0.07586,7.586206897
Armstrong Creek,Redland City,Apr-23,0.08621,8.620689655
Armstrong Creek,Scenic Rim Regional,May-23,0.19048,19.04761905
Armstrong Creek,Scenic Rim Regional,Mar-23,0.09524,9.523809524
Armstrong Creek,Scenic Rim Regional,Jun-23,0.16667,16.66666667
Armstrong Creek,Scenic Rim Regional,Jul-23,0.30952,30.95238095
Armstrong Creek,Scenic Rim Regional,Jan-23,0.07143,7.142857143
Armstrong Creek,Scenic Rim Regional,Feb-23,0.02381,2.380952381
Armstrong Creek,Scenic Rim Regional,Apr-23,0.14286,14.28571429
Armstrong Creek,Sunshine Coast Regional,May-23,0.24376,24.37619962
Armstrong Creek,Sunshine Coast Regional,Mar-23,0.09789,9.788867562
Armstrong Creek,Sunshine Coast Regional,Jun-23,0.21689,21.6890595
Armstrong Creek,Sunshine Coast Regional,Jul-23,0.18426,18.42610365
Armstrong Creek,Sunshine Coast Regional,Jan-23,0.09021,9.021113244
Armstrong Creek,Sunshine Coast Regional,Feb-23,0.07678,7.677543186
Armstrong Creek,Sunshine Coast Regional,Apr-23,0.09021,9.021113244
Armstrong Creek,Toowoomba Regional,May-23,0.05714,5.714285714
Armstrong Creek,Toowoomba Regional,Mar-23,0.09524,9.523809524
Armstrong Creek,Toowoomba Regional,Jun-23,0.18095,18.0952381
Armstrong Creek,Toowoomba Regional,Jul-23,0.40000,40
Armstrong Creek,Toowoomba Regional,Jan-23,0.09524,9.523809524
Armstrong Creek,Toowoomba Regional,Feb-23,0.11429,11.42857143
Armstrong Creek,Toowoomba Regional,Apr-23,0.05714,5.714285714
Armstrong Creek,Townsville City,May-23,0.21818,21.81818182
Armstrong Creek,Townsville City,Mar-23,0.09091,9.090909091
Armstrong Creek,Townsville City,Jun-23,0.20000,20
Armstrong Creek,Townsville City,Jul-23,0.36364,36.36363636
Armstrong Creek,Townsville City,Jan-23,0.01818,1.818181818
Armstrong Creek,Townsville City,Feb-23,0.09091,9.090909091
Armstrong Creek,Townsville City,Apr-23,0.01818,1.818181818
Bald Hills,Brisbane City,May-23,0.23780,23.78048781
Bald Hills,Brisbane City,Mar-23,0.09878,9.87804878
Bald Hills,Brisbane City,Jun-23,0.21098,21.09756098
Bald Hills,Brisbane City,Jul-23,0.20000,20
Bald Hills,Brisbane City,Jan-23,0.07317,7.317073171
Bald Hills,Brisbane City,Feb-23,0.06951,6.951219512
Bald Hills,Brisbane City,Apr-23,0.10976,10.97560976
Bald Hills,Bundaberg Regional,Jun-23,0.66667,66.66666667
Bald Hills,Bundaberg Regional,Jan-23,0.33333,33.33333333
Bald Hills,Cairns Regional,Jun-23,0.25000,25
Bald Hills,Cairns Regional,Jul-23,0.50000,50
Bald Hills,Cairns Regional,Feb-23,0.12500,12.5
Bald Hills,Cairns Regional,Apr-23,0.12500,12.5
Bald Hills,Fraser Coast Regional,May-23,0.33333,33.33333333
Bald Hills,Fraser Coast Regional,Jun-23,0.11111,11.11111111
Bald Hills,Fraser Coast Regional,Jul-23,0.22222,22.22222222
Bald Hills,Fraser Coast Regional,Feb-23,0.22222,22.22222222
Bald Hills,Fraser Coast Regional,Apr-23,0.11111,11.11111111
Bald Hills,Gold Coast City,May-23,0.19565,19.56521739
Bald Hills,Gold Coast City,Mar-23,0.10870,10.86956522
Bald Hills,Gold Coast City,Jun-23,0.19565,19.56521739
Bald Hills,Gold Coast City,Jul-23,0.26087,26.08695652
Bald Hills,Gold Coast City,Jan-23,0.08696,8.695652174
Bald Hills,Gold Coast City,Feb-23,0.06522,6.52173913
Bald Hills,Gold Coast City,Apr-23,0.08696,8.695652174
Bald Hills,Gympie Regional,May-23,0.33333,33.33333333
Bald Hills,Gympie Regional,Jun-23,0.33333,33.33333333
Bald Hills,Gympie Regional,Feb-23,0.33333,33.33333333
Bald Hills,Ipswich City,May-23,0.13636,13.63636364
Bald Hills,Ipswich City,Mar-23,0.09091,9.090909091
Bald Hills,Ipswich City,Jun-23,0.31818,31.81818182
Bald Hills,Ipswich City,Jul-23,0.27273,27.27272727
Bald Hills,Ipswich City,Jan-23,0.04545,4.545454545
Bald Hills,Ipswich City,Feb-23,0.04545,4.545454545
Bald Hills,Ipswich City,Apr-23,0.09091,9.090909091
Bald Hills,Logan City,May-23,0.20000,20
Bald Hills,Logan City,Mar-23,0.12308,12.30769231
Bald Hills,Logan City,Jun-23,0.13846,13.84615385
