Month of Month of Booking Date,Park,Park_Tourism_Region,Tr_Name,Year of Month of Booking Date,Visitors,month_year
April,Total,Mackay,Peninsula,2022,8,Apr-22
April,Total,"Launceston, Tamar and the North",Peninsula,2022,2,Apr-22
April,Total,Fraser Coast,Peninsula,2022,83,Apr-22
April,Total,Darling Downs,Peninsula,2022,6,Apr-22
April,Total,Central Queensland,Peninsula,2022,127,Apr-22
April,Total,Brisbane,Peninsula,2022,4,Apr-22
April,Total,Tropical North Queensland,Outback Queensland,2022,209,Apr-22
April,Total,Townsville,Outback Queensland,2022,32,Apr-22
April,Total,Sunshine Coast,Outback Queensland,2022,58,Apr-22
April,Total,Outback,Outback Queensland,2022,77,Apr-22
April,Total,Mackay,Outback Queensland,2022,53,Apr-22
April,Total,"Launceston, Tamar and the North",Outback Queensland,2022,12,Apr-22
April,Total,Gold Coast,Outback Queensland,2022,4,Apr-22
April,Total,Fraser Coast,Outback Queensland,2022,436,Apr-22
April,Total,Darling Downs,Outback Queensland,2022,72,Apr-22
April,Total,Central Queensland,Outback Queensland,2022,1359,Apr-22
April,Total,Bundaberg,Outback Queensland,2022,122,Apr-22
April,Total,Brisbane,Outback Queensland,2022,9,Apr-22
April,Total,Tropical North Queensland,Outback NSW,2022,44,Apr-22
April,Total,Sunshine Coast,Outback NSW,2022,8,Apr-22
April,Total,Mackay,Outback NSW,2022,3,Apr-22
April,Total,Gold Coast,Outback NSW,2022,7,Apr-22
April,Total,Fraser Coast,Outback NSW,2022,120,Apr-22
April,Total,Central Queensland,Outback NSW,2022,8,Apr-22
April,Total,Brisbane,Outback NSW,2022,2,Apr-22
April,Total,Sunshine Coast,North West,2022,8,Apr-22
April,Total,Outback,North West,2022,2,Apr-22
April,Total,Mackay,North West,2022,4,Apr-22
April,Total,Gold Coast,North West,2022,1,Apr-22
April,Total,Whitsundays,North Coast NSW,2022,79,Apr-22
April,Total,Tropical North Queensland,North Coast NSW,2022,259,Apr-22
April,Total,Townsville,North Coast NSW,2022,46,Apr-22
April,Total,Sunshine Coast,North Coast NSW,2022,1038,Apr-22
April,Total,Outback,North Coast NSW,2022,70,Apr-22
April,Total,Mackay,North Coast NSW,2022,19,Apr-22
April,Total,"Launceston, Tamar and the North",North Coast NSW,2022,10,Apr-22
April,Total,Gold Coast,North Coast NSW,2022,128,Apr-22
April,Total,Fraser Coast,North Coast NSW,2022,1884,Apr-22
April,Total,Darling Downs,North Coast NSW,2022,590,Apr-22
April,Total,Central Queensland,North Coast NSW,2022,356,Apr-22
April,Total,Bundaberg,North Coast NSW,2022,20,Apr-22
April,Total,Brisbane,North Coast NSW,2022,269,Apr-22
April,Total,Whitsundays,New England North West,2022,9,Apr-22
April,Total,Tropical North Queensland,New England North West,2022,109,Apr-22
April,Total,Townsville,New England North West,2022,6,Apr-22
April,Total,Sunshine Coast,New England North West,2022,184,Apr-22
April,Total,Outback,New England North West,2022,73,Apr-22
April,Total,Mackay,New England North West,2022,11,Apr-22
April,Total,Gold Coast,New England North West,2022,11,Apr-22
April,Total,Fraser Coast,New England North West,2022,604,Apr-22
April,Total,Darling Downs,New England North West,2022,163,Apr-22
April,Total,Central Queensland,New England North West,2022,112,Apr-22
April,Total,Bundaberg,New England North West,2022,2,Apr-22
April,Total,Brisbane,New England North West,2022,66,Apr-22
April,Total,Whitsundays,Melbourne,2022,45,Apr-22
April,Total,Tropical North Queensland,Melbourne,2022,606,Apr-22
April,Total,Townsville,Melbourne,2022,51,Apr-22
April,Total,Sunshine Coast,Melbourne,2022,339,Apr-22
April,Total,Outback,Melbourne,2022,131,Apr-22
April,Total,Mackay,Melbourne,2022,53,Apr-22
April,Total,"Launceston, Tamar and the North",Melbourne,2022,2,Apr-22
April,Total,Gold Coast,Melbourne,2022,11,Apr-22
April,Total,Fraser Coast,Melbourne,2022,1524,Apr-22
April,Total,Darling Downs,Melbourne,2022,32,Apr-22
April,Total,Central Queensland,Melbourne,2022,150,Apr-22
April,Total,Brisbane,Melbourne,2022,32,Apr-22
April,Total,Fraser Coast,Mallee,2022,4,Apr-22
April,Total,Whitsundays,Mackay,2022,295,Apr-22
April,Total,Tropical North Queensland,Mackay,2022,238,Apr-22
April,Total,Townsville,Mackay,2022,33,Apr-22
April,Total,Sunshine Coast,Mackay,2022,69,Apr-22
April,Total,Outback,Mackay,2022,73,Apr-22
April,Total,Mackay,Mackay,2022,1486,Apr-22
April,Total,"Launceston, Tamar and the North",Mackay,2022,6,Apr-22
April,Total,Gold Coast,Mackay,2022,13,Apr-22
April,Total,Fraser Coast,Mackay,2022,291,Apr-22
April,Total,Darling Downs,Mackay,2022,45,Apr-22
April,Total,Central Queensland,Mackay,2022,337,Apr-22
April,Total,Bundaberg,Mackay,2022,6,Apr-22
April,Total,Brisbane,Mackay,2022,11,Apr-22
April,Total,Tropical North Queensland,Macedon,2022,84,Apr-22
April,Total,Townsville,Macedon,2022,10,Apr-22
April,Total,Sunshine Coast,Macedon,2022,20,Apr-22
April,Total,Outback,Macedon,2022,2,Apr-22
April,Total,Mackay,Macedon,2022,7,Apr-22
April,Total,Fraser Coast,Macedon,2022,114,Apr-22
April,Total,Central Queensland,Macedon,2022,2,Apr-22
April,Total,Brisbane,Macedon,2022,4,Apr-22
April,Total,Tropical North Queensland,Litchfield Kakadu Arnhem,2022,10,Apr-22
April,Total,Sunshine Coast,Litchfield Kakadu Arnhem,2022,6,Apr-22
April,Total,Outback,Litchfield Kakadu Arnhem,2022,2,Apr-22
April,Total,Fraser Coast,Litchfield Kakadu Arnhem,2022,5,Apr-22
April,Total,Central Queensland,Litchfield Kakadu Arnhem,2022,13,Apr-22
April,Total,Tropical North Queensland,Limestone Coast,2022,4,Apr-22
April,Total,Fraser Coast,Limestone Coast,2022,6,Apr-22
April,Total,Central Queensland,Limestone Coast,2022,2,Apr-22
April,Total,Brisbane,Limestone Coast,2022,12,Apr-22
April,Total,Whitsundays,Launceston and the North,2022,16,Apr-22
April,Total,Tropical North Queensland,Launceston and the North,2022,6,Apr-22
April,Total,Townsville,Launceston and the North,2022,2,Apr-22
April,Total,Sunshine Coast,Launceston and the North,2022,8,Apr-22
April,Total,Outback,Launceston and the North,2022,5,Apr-22
April,Total,Fraser Coast,Launceston and the North,2022,87,Apr-22
April,Total,Darling Downs,Launceston and the North,2022,2,Apr-22
April,Total,Central Queensland,Launceston and the North,2022,4,Apr-22
April,Total,Tropical North Queensland,Lasseter,2022,15,Apr-22
April,Total,Townsville,Lasseter,2022,2,Apr-22
April,Total,Sunshine Coast,Lasseter,2022,4,Apr-22
April,Total,Gold Coast,Lasseter,2022,1,Apr-22
April,Total,Darling Downs,Lasseter,2022,1,Apr-22
April,Total,Central Queensland,Lasseter,2022,2,Apr-22
April,Total,Tropical North Queensland,Lakes,2022,28,Apr-22
April,Total,Fraser Coast,Lakes,2022,14,Apr-22
April,Total,Central Queensland,Lakes,2022,2,Apr-22
April,Total,Brisbane,Lakes,2022,4,Apr-22
April,Total,Outback,Katherine Daly,2022,16,Apr-22
April,Total,Fraser Coast,Katherine Daly,2022,8,Apr-22
April,Total,Darling Downs,Katherine Daly,2022,8,Apr-22
April,Total,Whitsundays,Hunter,2022,39,Apr-22
April,Total,Tropical North Queensland,Hunter,2022,294,Apr-22
April,Total,Townsville,Hunter,2022,11,Apr-22
April,Total,Sunshine Coast,Hunter,2022,164,Apr-22
April,Total,Outback,Hunter,2022,46,Apr-22
April,Total,Mackay,Hunter,2022,31,Apr-22
April,Total,Gold Coast,Hunter,2022,5,Apr-22
April,Total,Fraser Coast,Hunter,2022,1053,Apr-22
April,Total,Darling Downs,Hunter,2022,37,Apr-22
April,Total,Central Queensland,Hunter,2022,109,Apr-22
April,Total,Bundaberg,Hunter,2022,4,Apr-22
April,Total,Brisbane,Hunter,2022,19,Apr-22
April,Total,Whitsundays,Hobart and the South,2022,16,Apr-22
April,Total,Tropical North Queensland,Hobart and the South,2022,99,Apr-22
April,Total,Townsville,Hobart and the South,2022,9,Apr-22
April,Total,Sunshine Coast,Hobart and the South,2022,18,Apr-22
April,Total,Outback,Hobart and the South,2022,32,Apr-22
April,Total,Mackay,Hobart and the South,2022,18,Apr-22
April,Total,Gold Coast,Hobart and the South,2022,2,Apr-22
April,Total,Fraser Coast,Hobart and the South,2022,36,Apr-22
April,Total,Darling Downs,Hobart and the South,2022,4,Apr-22
April,Total,Central Queensland,Hobart and the South,2022,28,Apr-22
April,Total,Brisbane,Hobart and the South,2022,32,Apr-22
April,Total,Tropical North Queensland,High Country,2022,38,Apr-22
April,Total,Townsville,High Country,2022,9,Apr-22
April,Total,Sunshine Coast,High Country,2022,52,Apr-22
April,Total,Fraser Coast,High Country,2022,126,Apr-22
April,Total,Central Queensland,High Country,2022,12,Apr-22
April,Total,Tropical North Queensland,Great Ocean Road,2022,59,Apr-22
April,Total,Townsville,Great Ocean Road,2022,14,Apr-22
April,Total,Sunshine Coast,Great Ocean Road,2022,21,Apr-22
April,Total,Outback,Great Ocean Road,2022,6,Apr-22
April,Total,Mackay,Great Ocean Road,2022,6,Apr-22
