suburbName actual,Month of Dates,Adr,Lenght Of Stay
Brendale,Jan-22,,
Brendale,Dec-21,,
Brendale,Nov-21,,
Brendale,Oct-21,,
Brendale,Sep-21,,
Brendale,Aug-21,,
Brendale,Jul-21,,
Bunya,Jul-23,146.12,3.71
Bunya,Jun-23,137.36,10.08
Bunya,May-23,155.07,3.57
Bunya,Apr-23,142.81,4.78
Bunya,Mar-23,135.7,2
Bunya,Feb-23,158.08,5.64
Bunya,Jan-23,117.01,3.8
Bunya,Dec-22,115.53,7.5
Bunya,Nov-22,95.71,9.5
Bunya,Oct-22,101.33,4.25
Bunya,Sep-22,98.41,4
Bunya,Aug-22,95.86,6.6
Bunya,Jul-22,81.56,21
Bunya,Jun-22,81.12,31
Bunya,May-22,82.02,4.17
Bunya,Apr-22,73.85,
Bunya,Mar-22,73.48,53
Bunya,Feb-22,72.75,11.5
Bunya,Jan-22,71.31,20
Bunya,Dec-21,76.88,23
Bunya,Nov-21,74.01,30
Bunya,Oct-21,74.31,31
Bunya,Sep-21,70.91,
Bunya,Aug-21,69.2,48
Bunya,Jul-21,76.63,30.33
Burpengary,Jul-23,136.99,3.78
Burpengary,Jun-23,127.43,2.83
Burpengary,May-23,113.03,2.84
Burpengary,Apr-23,109.25,6.57
Burpengary,Mar-23,111.76,7.96
Burpengary,Feb-23,106.63,2.61
Burpengary,Jan-23,104.88,8.08
Burpengary,Dec-22,101.72,6.6
Burpengary,Nov-22,96.08,8.28
Burpengary,Oct-22,103.29,3.57
Burpengary,Sep-22,101.85,6
Burpengary,Aug-22,97.03,3.12
Burpengary,Jul-22,91.07,6.42
Burpengary,Jun-22,84.8,4.31
Burpengary,May-22,80.58,7.88
Burpengary,Apr-22,91.38,4.32
Burpengary,Mar-22,99.79,2.21
Burpengary,Feb-22,87.17,3.45
Burpengary,Jan-22,89.29,5.55
Burpengary,Dec-21,85.83,2.67
Burpengary,Nov-21,77.15,8.65
Burpengary,Oct-21,76.93,7.63
Burpengary,Sep-21,86.2,5.06
Burpengary,Aug-21,68.87,4.94
Burpengary,Jul-21,68.8,6.43
Burpengary East,Jul-23,223.54,28.75
Burpengary East,Jun-23,210.41,5.33
Burpengary East,May-23,253.79,31.8
Burpengary East,Apr-23,260.79,2.8
Burpengary East,Mar-23,221.08,5.63
Burpengary East,Feb-23,360.09,4
Burpengary East,Jan-23,262.51,29.5
Burpengary East,Dec-22,190.85,6.67
Burpengary East,Nov-22,174.67,2.38
Burpengary East,Oct-22,212.74,5.56
Burpengary East,Sep-22,258.41,4.36
Burpengary East,Aug-22,220.75,3.33
Burpengary East,Jul-22,364.11,5.75
Burpengary East,Jun-22,445.46,17
Burpengary East,May-22,,
Burpengary East,Apr-22,341.5,1
Burpengary East,Mar-22,338.21,1
Burpengary East,Feb-22,351.58,1
Burpengary East,Jan-22,350.51,1
Burpengary East,Dec-21,350.13,1
Burpengary East,Nov-21,343.18,1
Burpengary East,Oct-21,340.41,1
Burpengary East,Sep-21,343.57,1
Burpengary East,Aug-21,,
Burpengary East,Jul-21,190.76,1
Caboolture,Jul-23,141.27,2.75
Caboolture,Jun-23,139.92,3.4
Caboolture,May-23,134.57,2.92
Caboolture,Apr-23,136.67,3.08
Caboolture,Mar-23,127.91,3
Caboolture,Feb-23,128.14,7.58
Caboolture,Jan-23,120.51,4.82
Caboolture,Dec-22,110.22,3.03
Caboolture,Nov-22,100.91,2.65
Caboolture,Oct-22,110.38,3.23
Caboolture,Sep-22,100.92,3.08
Caboolture,Aug-22,89.84,3.05
Caboolture,Jul-22,95.84,3.14
Caboolture,Jun-22,88.57,3.03
Caboolture,May-22,87.95,2.98
Caboolture,Apr-22,88.01,3.75
Caboolture,Mar-22,81.34,3.15
Caboolture,Feb-22,86.95,2.64
Caboolture,Jan-22,90.22,5.48
Caboolture,Dec-21,85.67,2.33
Caboolture,Nov-21,83.03,5.87
Caboolture,Oct-21,84.03,3.4
Caboolture,Sep-21,89.71,2.51
Caboolture,Aug-21,90.89,4.23
Caboolture,Jul-21,92.26,4.3
Caboolture South,Jul-23,239.61,11.5
Caboolture South,Jun-23,204.86,5.17
Caboolture South,May-23,177.35,9
Caboolture South,Apr-23,229.92,9.56
Caboolture South,Mar-23,192.27,5.14
Caboolture South,Feb-23,285.93,9.5
Caboolture South,Jan-23,200.78,13.71
Caboolture South,Dec-22,274.63,7.83
Caboolture South,Nov-22,207.99,11.4
Caboolture South,Oct-22,330.73,5.75
Caboolture South,Sep-22,350.93,6.33
Caboolture South,Aug-22,253.58,2.5
Caboolture South,Jul-22,193.65,5
Caboolture South,Jun-22,194.37,10.67
Caboolture South,May-22,189.07,3
Caboolture South,Apr-22,,
Caboolture South,Mar-22,,
Caboolture South,Feb-22,,
Caboolture South,Jan-22,,
Caboolture South,Dec-21,243.92,
Caboolture South,Nov-21,225.19,
Caboolture South,Oct-21,213.07,32
Caboolture South,Sep-21,214.3,
Caboolture South,Aug-21,214.72,40
Caboolture South,Jul-21,210.37,9.5
Camp Mountain,Jul-23,198.39,3.43
Camp Mountain,Jun-23,205.65,6
Camp Mountain,May-23,202.72,2.75
Camp Mountain,Apr-23,184.04,5.1
Camp Mountain,Mar-23,160.08,4.56
Camp Mountain,Feb-23,165.05,6
Camp Mountain,Jan-23,150.82,2.54
Camp Mountain,Dec-22,176.24,3.67
Camp Mountain,Nov-22,195.69,3.27
Camp Mountain,Oct-22,193.4,10.27
Camp Mountain,Sep-22,179.24,5.25
Camp Mountain,Aug-22,178.22,14.25
Camp Mountain,Jul-22,166.58,2.5
Camp Mountain,Jun-22,167.76,4.3
Camp Mountain,May-22,177.25,2.65
Camp Mountain,Apr-22,183.16,3.4
Camp Mountain,Mar-22,174.09,4.63
Camp Mountain,Feb-22,161.07,3.39
Camp Mountain,Jan-22,164.22,5.24
Camp Mountain,Dec-21,188.28,6.53
Camp Mountain,Nov-21,145.93,7.07
Camp Mountain,Oct-21,145.19,2.62
Camp Mountain,Sep-21,143.26,5.1
Camp Mountain,Aug-21,140.14,4.53
Camp Mountain,Jul-21,140.64,5.75
Cashmere,Jul-23,315.11,7.28
Cashmere,Jun-23,232.22,4.84
Cashmere,May-23,198.89,2.64
Cashmere,Apr-23,243.02,3.5
Cashmere,Mar-23,248.66,4.93
Cashmere,Feb-23,272.2,3.55
Cashmere,Jan-23,310.93,4.95
Cashmere,Dec-22,321.25,4.53
