Suburb,Month of Dates,Occupancy Percent
Booroobin,Aug-22,65.69
Booroobin,Jul-22,77.97
Booroobin,Jun-22,73.65
Booroobin,May-22,67.45
Booroobin,Apr-22,71.37
Booroobin,Mar-22,59.38
Booroobin,Feb-22,58.85
Booroobin,Jan-22,75
Booroobin,Dec-21,80.34
Booroobin,Nov-21,62.21
Booroobin,Oct-21,74.63
Booroobin,Sep-21,67.48
Booroobin,Aug-21,66.07
Booroobin,Jul-21,80.47
Bray Park,Jul-23,56.97
Bray Park,Jun-23,63.89
Bray Park,May-23,62.37
Bray Park,Apr-23,66.67
Bray Park,Mar-23,81.18
Bray Park,Feb-23,78.57
Bray Park,Jan-23,66.45
Bray Park,Dec-22,83.87
Bray Park,Nov-22,93.33
Bray Park,Oct-22,90.4
Bray Park,Sep-22,78.33
Bray Park,Aug-22,67.44
Bray Park,Jul-22,70
Bray Park,Jun-22,87.5
Bray Park,May-22,83.33
Bray Park,Apr-22,98.33
Bray Park,Mar-22,83.05
Bray Park,Feb-22,67.86
Bray Park,Jan-22,78.49
Bray Park,Dec-21,78.49
Bray Park,Nov-21,89.39
Bray Park,Oct-21,96.88
Bray Park,Sep-21,44.44
Bray Park,Aug-21,66.67
Bray Park,Jul-21,64.52
Brendale,Jul-23,6.99
Brendale,Jun-23,0
Brendale,May-23,3.23
Brendale,Apr-23,9.44
Brendale,Mar-23,5.38
Brendale,Feb-23,7.74
Brendale,Jan-23,2.69
Brendale,Dec-22,1.08
Brendale,Nov-22,6.67
Brendale,Oct-22,12.9
Brendale,Sep-22,7.69
Brendale,Aug-22,1.29
Brendale,Jul-22,0
Brendale,Jun-22,0
Brendale,May-22,0
Brendale,Apr-22,0
Brendale,Mar-22,0
Brendale,Feb-22,0
Brendale,Jan-22,0
Brendale,Dec-21,0
Brendale,Nov-21,0
Brendale,Oct-21,0
Brendale,Sep-21,0
Brendale,Aug-21,0
Brendale,Jul-21,0
Bunya,Jul-23,71.95
Bunya,Jun-23,79.31
Bunya,May-23,79.03
Bunya,Apr-23,73.33
Bunya,Mar-23,74.58
Bunya,Feb-23,90.24
Bunya,Jan-23,51.52
