Tr_Name,Park_Tourism_Region,Last_Yr,This_Yr,Percent_Change
Eyre Peninsula,Central Queensland,74,62,-16.21621622
Eyre Peninsula,Darling Downs,46,16,-65.2173913
Eyre Peninsula,Fraser Coast,180,286,58.88888889
Eyre Peninsula,Gold Coast,2,8,300
Eyre Peninsula,"Launceston, Tamar and the North",0,4,100
Eyre Peninsula,Mackay,20,18,-10
Eyre Peninsula,Outback,34,70,105.8823529
Eyre Peninsula,Sunshine Coast,82,146,78.04878049
Eyre Peninsula,Townsville,74,24,-67.56756757
Eyre Peninsula,Tropical North Queensland,238,254,6.722689076
Fleurieu Peninsula,All,"5,718","6,534",14.27072403
Fleurieu Peninsula,Brisbane,66,70,6.060606061
Fleurieu Peninsula,Bundaberg,18,0,-100
Fleurieu Peninsula,Central Queensland,648,386,-40.43209877
Fleurieu Peninsula,Darling Downs,108,256,137.037037
Fleurieu Peninsula,Fraser Coast,"1,660","1,774",6.86746988
Fleurieu Peninsula,Gold Coast,82,128,56.09756098
Fleurieu Peninsula,"Launceston, Tamar and the North",38,68,78.94736842
Fleurieu Peninsula,Mackay,170,236,38.82352941
Fleurieu Peninsula,Outback,310,206,-33.5483871
Fleurieu Peninsula,Queensland Country,0,4,100
Fleurieu Peninsula,Sunshine Coast,746,864,15.81769437
Fleurieu Peninsula,Townsville,302,428,41.7218543
Fleurieu Peninsula,Tropical North Queensland,"1,342","2,052",52.90611028
Fleurieu Peninsula,Whitsundays,228,62,-72.80701754
Flinders Ranges and Outback,All,474,290,-38.8185654
Flinders Ranges and Outback,Brisbane,0,18,100
Flinders Ranges and Outback,Central Queensland,16,4,-75
Flinders Ranges and Outback,Darling Downs,0,16,100
Flinders Ranges and Outback,Fraser Coast,326,96,-70.55214724
Flinders Ranges and Outback,Gold Coast,4,0,-100
Flinders Ranges and Outback,"Launceston, Tamar and the North",0,4,100
Flinders Ranges and Outback,Mackay,0,8,100
Flinders Ranges and Outback,Outback,0,12,100
Flinders Ranges and Outback,Sunshine Coast,66,26,-60.60606061
Flinders Ranges and Outback,Townsville,8,24,200
Flinders Ranges and Outback,Tropical North Queensland,54,82,51.85185185
Fraser Coast,All,"52,498","49,574",-5.56973599
Fraser Coast,Brisbane,268,306,14.17910448
Fraser Coast,Bundaberg,394,346,-12.18274112
Fraser Coast,Central Queensland,"4,054","2,990",-26.24568328
Fraser Coast,Darling Downs,960,926,-3.541666667
Fraser Coast,Fraser Coast,"27,516","25,074",-8.874836459
Fraser Coast,Gold Coast,56,86,53.57142857
Fraser Coast,"Launceston, Tamar and the North","1,228","1,576",28.33876221
Fraser Coast,Mackay,400,566,41.5
Fraser Coast,Outback,488,238,-51.2295082
Fraser Coast,Queensland Country,0,6,100
Fraser Coast,Sunshine Coast,"14,904","15,194",1.945786366
Fraser Coast,Townsville,256,286,11.71875
Fraser Coast,Tropical North Queensland,"1,964","1,954",-0.509164969
Fraser Coast,Whitsundays,10,26,160
Geelong and the Bellarine,All,"9,508","9,136",-3.912494741
Geelong and the Bellarine,Brisbane,138,248,79.71014493
Geelong and the Bellarine,Bundaberg,8,4,-50
Geelong and the Bellarine,Central Queensland,360,504,40
Geelong and the Bellarine,Darling Downs,150,136,-9.333333333
Geelong and the Bellarine,Fraser Coast,"4,256","4,342",2.020676692
Geelong and the Bellarine,Gold Coast,102,74,-27.45098039
Geelong and the Bellarine,"Launceston, Tamar and the North",60,132,120
Geelong and the Bellarine,Mackay,258,140,-45.73643411
Geelong and the Bellarine,Outback,272,256,-5.882352941
Geelong and the Bellarine,Sunshine Coast,"1,768","1,874",5.995475113
Geelong and the Bellarine,Townsville,324,152,-53.08641975
Geelong and the Bellarine,Tropical North Queensland,"1,740","1,274",-26.7816092
Geelong and the Bellarine,Whitsundays,72,0,-100
Gippsland,All,"12,914","12,602",-2.415982654
Gippsland,Brisbane,116,76,-34.48275862
Gippsland,Bundaberg,30,20,-33.33333333
Gippsland,Central Queensland,"1,014","1,030",1.57790927
Gippsland,Darling Downs,266,142,-46.61654135
Gippsland,Fraser Coast,"5,210","5,796",11.24760077
Gippsland,Gold Coast,54,50,-7.407407407
Gippsland,"Launceston, Tamar and the North",36,106,194.4444444
Gippsland,Mackay,234,178,-23.93162393
Gippsland,Outback,762,478,-37.27034121
Gippsland,Queensland Country,0,8,100
Gippsland,Sunshine Coast,"1,586","1,868",17.78058008
Gippsland,Townsville,290,284,-2.068965517
Gippsland,Tropical North Queensland,"3,224","2,340",-27.41935484
Gippsland,Whitsundays,92,226,145.6521739
Gladstone,All,"5,474","5,482",0.146145415
Gladstone,Brisbane,4,18,350
Gladstone,Bundaberg,52,40,-23.07692308
Gladstone,Central Queensland,"3,838","3,116",-18.81188119
Gladstone,Darling Downs,14,36,157.1428571
Gladstone,Fraser Coast,582,702,20.6185567
Gladstone,Gold Coast,0,4,100
Gladstone,"Launceston, Tamar and the North",120,92,-23.33333333
Gladstone,Mackay,28,66,135.7142857
