Origin SA3,Month of Purchase Month (copy),Pct,Percent_Change
Barkly,Feb-23,0.0046000,0.46
Barkly,Mar-23,0.0477000,4.77
Barkly,Apr-23,0.0505000,5.05
Barkly,May-23,0.0965000,9.65
Barossa,Jan-22,0.0001000,0.01
Barossa,Feb-22,0.0065000,0.65
Barossa,Mar-22,0.0306000,3.06
Barossa,Apr-22,0.0395000,3.95
Barossa,May-22,0.1263000,12.63
Barossa,Jun-22,0.0694000,6.94
Barossa,Jul-22,0.2619000,26.19
Barossa,Aug-22,0.1343000,13.43
Barossa,Sep-22,0.0905000,9.05
Barossa,Oct-22,0.0918000,9.18
Barossa,Nov-22,0.0173000,1.73
Barossa,Dec-22,0.0113000,1.13
Barossa,Jan-23,0.0164000,1.64
Barossa,Feb-23,0.0061000,0.61
Barossa,Mar-23,0.0060000,0.6
Barossa,Apr-23,0.0010000,0.1
Barossa,May-23,0.0909000,9.09
Barwon - West,Apr-22,0.0315000,3.15
Barwon - West,May-22,0.0159000,1.59
Barwon - West,Jun-22,0.2154000,21.54
Barwon - West,Jul-22,0.1331000,13.31
Barwon - West,Aug-22,0.1719000,17.19
Barwon - West,Sep-22,0.2286000,22.86
Barwon - West,Oct-22,0.0230000,2.3
Barwon - West,Mar-23,0.0020000,0.2
Barwon - West,Apr-23,0.0393000,3.93
Barwon - West,May-23,0.1393000,13.93
Bathurst,May-22,0.0039000,0.39
Bathurst,Jun-22,0.4633000,46.33
Bathurst,Jul-22,0.3023000,30.23
Bathurst,May-23,0.2305000,23.05
Baulkham Hills,Jan-22,0.0022000,0.22
Baulkham Hills,Mar-22,0.0015000,0.15
Baulkham Hills,Apr-22,0.0266000,2.66
Baulkham Hills,May-22,0.1411000,14.11
Baulkham Hills,Jun-22,0.0811000,8.11
Baulkham Hills,Jul-22,0.2106000,21.06
Baulkham Hills,Aug-22,0.1832000,18.32
Baulkham Hills,Sep-22,0.1590000,15.9
Baulkham Hills,Oct-22,0.0550000,5.5
Baulkham Hills,Nov-22,0.0049000,0.49
Baulkham Hills,Jan-23,0.0035000,0.35
Baulkham Hills,Feb-23,0.0004000,0.04
Baulkham Hills,Mar-23,0.0034000,0.34
Baulkham Hills,Apr-23,0.0071000,0.71
Baulkham Hills,May-23,0.1204000,12.04
Baw Baw,Feb-22,0.0191000,1.91
Baw Baw,Mar-22,0.0258000,2.58
Baw Baw,Apr-22,0.0241000,2.41
Baw Baw,May-22,0.1090000,10.9
Baw Baw,Jun-22,0.1748000,17.48
Baw Baw,Jul-22,0.3119000,31.19
Baw Baw,Aug-22,0.1376000,13.76
Baw Baw,Sep-22,0.0318000,3.18
Baw Baw,Oct-22,0.0507000,5.07
Baw Baw,Nov-22,0.0175000,1.75
Baw Baw,Dec-22,0.0021000,0.21
Baw Baw,Jan-23,0.0048000,0.48
Baw Baw,Feb-23,0.0319000,3.19
Baw Baw,Mar-23,0.0038000,0.38
Baw Baw,Apr-23,0.0032000,0.32
Baw Baw,May-23,0.0517000,5.17
Bayside,Jan-22,0.0001000,0.01
Bayside,Feb-22,0.0088000,0.88
Bayside,Mar-22,0.0094000,0.94
Bayside,Apr-22,0.0361000,3.61
Bayside,May-22,0.0788000,7.88
Bayside,Jun-22,0.1837000,18.37
Bayside,Jul-22,0.2459000,24.59
Bayside,Aug-22,0.1821000,18.21
Bayside,Sep-22,0.0739000,7.39
Bayside,Oct-22,0.0485000,4.85
Bayside,Nov-22,0.0087000,0.87
Bayside,Dec-22,0.0020000,0.2
Bayside,Jan-23,0.0009000,0.09
Bayside,Mar-23,0.0087000,0.87
Bayside,Apr-23,0.0224000,2.24
Bayside,May-23,0.0901000,9.01
Bayswater - Bassendean,Jan-22,0.0484000,4.84
Bayswater - Bassendean,Feb-22,0.0168000,1.68
Bayswater - Bassendean,Mar-22,0.0660000,6.6
Bayswater - Bassendean,Apr-22,0.0848000,8.48
Bayswater - Bassendean,May-22,0.1107000,11.07
Bayswater - Bassendean,Jun-22,0.1071000,10.71
Bayswater - Bassendean,Jul-22,0.1227000,12.27
Bayswater - Bassendean,Aug-22,0.0972000,9.72
Bayswater - Bassendean,Sep-22,0.0723000,7.23
Bayswater - Bassendean,Oct-22,0.0332000,3.32
Bayswater - Bassendean,Nov-22,0.0852000,8.52
Bayswater - Bassendean,Dec-22,0.0081000,0.81
Bayswater - Bassendean,Jan-23,0.0497000,4.97
Bayswater - Bassendean,Feb-23,0.0014000,0.14
Bayswater - Bassendean,Mar-23,0.0171000,1.71
Bayswater - Bassendean,Apr-23,0.0220000,2.2
Bayswater - Bassendean,May-23,0.0573000,5.73
Beaudesert,May-22,0.0318000,3.18
Beaudesert,Jun-22,0.1995000,19.95
Beaudesert,Jul-22,0.1255000,12.55
Beaudesert,Aug-22,0.0212000,2.12
Beaudesert,Jan-23,0.0775000,7.75
Beaudesert,Feb-23,0.0037000,0.37
Beaudesert,Mar-23,0.1515000,15.15
Beaudesert,Apr-23,0.2304000,23.04
Beaudesert,May-23,0.1589000,15.89
Belconnen,May-22,0.2320000,23.2
Belconnen,Jun-22,0.2036000,20.36
Belconnen,Jul-22,0.1067000,10.67
Belconnen,Aug-22,0.1011000,10.11
Belconnen,Sep-22,0.0029000,0.29
Belconnen,Oct-22,0.3224000,32.24
Belconnen,Dec-22,0.0163000,1.63
Belconnen,Jan-23,0.0044000,0.44
Belconnen,Mar-23,0.0004000,0.04
Belconnen,Apr-23,0.0090000,0.9
Belconnen,May-23,0.0012000,0.12
Belmont - Victoria Park,Jan-22,0.0352000,3.52
Belmont - Victoria Park,Feb-22,0.0290000,2.9
Belmont - Victoria Park,Mar-22,0.0324000,3.24
Belmont - Victoria Park,Apr-22,0.0680000,6.8
Belmont - Victoria Park,May-22,0.0955000,9.55
Belmont - Victoria Park,Jun-22,0.1326000,13.26
Belmont - Victoria Park,Jul-22,0.1374000,13.74
Belmont - Victoria Park,Aug-22,0.1002000,10.02
Belmont - Victoria Park,Sep-22,0.0610000,6.1
Belmont - Victoria Park,Oct-22,0.0504000,5.04
Belmont - Victoria Park,Nov-22,0.0329000,3.29
Belmont - Victoria Park,Dec-22,0.0333000,3.33
Belmont - Victoria Park,Jan-23,0.0391000,3.91
Belmont - Victoria Park,Feb-23,0.0157000,1.57
Belmont - Victoria Park,Mar-23,0.0327000,3.27
Belmont - Victoria Park,Apr-23,0.0343000,3.43
Belmont - Victoria Park,May-23,0.0702000,7.02
Bendigo,Jan-22,0.0019000,0.19
Bendigo,Feb-22,0.0000000,0
Bendigo,Mar-22,0.0089000,0.89
Bendigo,Apr-22,0.0277000,2.77
Bendigo,May-22,0.0979000,9.79
Bendigo,Jun-22,0.1889000,18.89
Bendigo,Jul-22,0.1591000,15.91
Bendigo,Aug-22,0.1274000,12.74
Bendigo,Sep-22,0.0955000,9.55
Bendigo,Oct-22,0.0578000,5.78
Bendigo,Nov-22,0.0145000,1.45
Bendigo,Dec-22,0.0264000,2.64
Bendigo,Jan-23,0.0211000,2.11
Bendigo,Feb-23,0.0006000,0.06
Bendigo,Mar-23,0.0415000,4.15
Bendigo,Apr-23,0.0456000,4.56
Bendigo,May-23,0.0850000,8.5
Blacktown,Jan-22,0.0023000,0.23
Blacktown,Apr-22,0.0322000,3.22
Blacktown,May-22,0.2339000,23.39
